vegetable,price,Badulla_actual_class,Hambantota_actual_class,Jaffna_actual_class,Kurunegala_actual_class,Matale_actual_class,Nuwara_Eliya_actual_class,Ratnapura_actual_class,Badulla_prob_drought,Hambantota_prob_drought,Jaffna_prob_drought,Kurunegala_prob_drought,Matale_prob_drought,Nuwara_Eliya_prob_drought,Ratnapura_prob_drought,Badulla_prob_flood_risk,Hambantota_prob_flood_risk,Jaffna_prob_flood_risk,Kurunegala_prob_flood_risk,Matale_prob_flood_risk,Nuwara_Eliya_prob_flood_risk,Ratnapura_prob_flood_risk,Badulla_prob_normal,Hambantota_prob_normal,Jaffna_prob_normal,Kurunegala_prob_normal,Matale_prob_normal,Nuwara_Eliya_prob_normal,Ratnapura_prob_normal,USD_LKR_avg,RateChange_avg,week_num,price_lag1,price_lag2,price_roll_mean_4,price_roll_std_4,avg_prob_drought,max_prob_drought,min_prob_drought,std_prob_drought,avg_prob_flood_risk,max_prob_flood_risk,min_prob_flood_risk,std_prob_flood_risk,avg_prob_normal,max_prob_normal,min_prob_normal,std_prob_normal,count_drought,count_normal,count_flood_risk,usd_x_avg_drought,usd_x_avg_flood,usd_x_avg_normal,week_x_avg_drought,week_x_avg_flood,USD_LKR_avg_sq,RateChange_avg_%_sq,week_num_sq,week_sin,week_cos,veg_2,veg_3,veg_4,veg_5,veg_6
1,58.6,0,-1,-1,0,-1,-1,-1,0.0001556337142857,0.993792115729212,0.9929583134492984,0.0001178115714285,0.9932703671434648,0.994469539141571,0.9928968022971932,0.000737422,0.0007042785714285,0.0007042091428571,0.0007158215714285,0.0007042158571428,0.0007045361428571,0.0007042024285714,0.999106944293272,0.0055036057142857,0.0063374771428571,0.9991663664957476,0.0060254168571428,0.0048259247142857,0.0063989954285714,114.35,0.09,3,58.6,52.4,56.53333333333333,3.579571668975682,0.7096657975780648,0.994469539141571,0.0001178115714285,0.4847009312294223,0.000710669387755,0.000737422,0.0007042024285714,1.2555947245689789e-05,0.2896235329494518,0.9991663664957476,0.0048259247142857,0.4846900339111996,5,2,0,81.15028395305171,0.0812650444897907,33.118450992769816,2.1289973927341945,0.0021320081632651,13075.9225,0.0081,9,0.3546048870425356,0.9350162426854148,0,0,0,0,0
2,67.0,0,-1,-1,0,-1,-1,-1,0.0001556337142857,0.993792115729212,0.9929583134492984,0.0001178115714285,0.9932703671434648,0.994469539141571,0.9928968022971932,0.000737422,0.0007042785714285,0.0007042091428571,0.0007158215714285,0.0007042158571428,0.0007045361428571,0.0007042024285714,0.999106944293272,0.0055036057142857,0.0063374771428571,0.9991663664957476,0.0060254168571428,0.0048259247142857,0.0063989954285714,114.35,0.09,3,51.6,60.6,59.73333333333333,7.736493607140985,0.7096657975780648,0.994469539141571,0.0001178115714285,0.4847009312294223,0.000710669387755,0.000737422,0.0007042024285714,1.2555947245689789e-05,0.2896235329494518,0.9991663664957476,0.0048259247142857,0.4846900339111996,5,2,0,81.15028395305171,0.0812650444897907,33.118450992769816,2.1289973927341945,0.0021320081632651,13075.9225,0.0081,9,0.3546048870425356,0.9350162426854148,1,0,0,0,0
3,47.5,0,-1,-1,0,-1,-1,-1,0.0001556337142857,0.993792115729212,0.9929583134492984,0.0001178115714285,0.9932703671434648,0.994469539141571,0.9928968022971932,0.000737422,0.0007042785714285,0.0007042091428571,0.0007158215714285,0.0007042158571428,0.0007045361428571,0.0007042024285714,0.999106944293272,0.0055036057142857,0.0063374771428571,0.9991663664957476,0.0060254168571428,0.0048259247142857,0.0063989954285714,114.35,0.09,3,41.0,38.2,42.23333333333333,4.771093515467217,0.7096657975780648,0.994469539141571,0.0001178115714285,0.4847009312294223,0.000710669387755,0.000737422,0.0007042024285714,1.2555947245689789e-05,0.2896235329494518,0.9991663664957476,0.0048259247142857,0.4846900339111996,5,2,0,81.15028395305171,0.0812650444897907,33.118450992769816,2.1289973927341945,0.0021320081632651,13075.9225,0.0081,9,0.3546048870425356,0.9350162426854148,0,1,0,0,0
4,105.0,0,-1,-1,0,-1,-1,-1,0.0001556337142857,0.993792115729212,0.9929583134492984,0.0001178115714285,0.9932703671434648,0.994469539141571,0.9928968022971932,0.000737422,0.0007042785714285,0.0007042091428571,0.0007158215714285,0.0007042158571428,0.0007045361428571,0.0007042024285714,0.999106944293272,0.0055036057142857,0.0063374771428571,0.9991663664957476,0.0060254168571428,0.0048259247142857,0.0063989954285714,114.35,0.09,3,68.6,66.0,79.86666666666666,21.804892417375815,0.7096657975780648,0.994469539141571,0.0001178115714285,0.4847009312294223,0.000710669387755,0.000737422,0.0007042024285714,1.2555947245689789e-05,0.2896235329494518,0.9991663664957476,0.0048259247142857,0.4846900339111996,5,2,0,81.15028395305171,0.0812650444897907,33.118450992769816,2.1289973927341945,0.0021320081632651,13075.9225,0.0081,9,0.3546048870425356,0.9350162426854148,0,0,1,0,0
5,22.5,0,-1,-1,0,-1,-1,-1,0.0001556337142857,0.993792115729212,0.9929583134492984,0.0001178115714285,0.9932703671434648,0.994469539141571,0.9928968022971932,0.000737422,0.0007042785714285,0.0007042091428571,0.0007158215714285,0.0007042158571428,0.0007045361428571,0.0007042024285714,0.999106944293272,0.0055036057142857,0.0063374771428571,0.9991663664957476,0.0060254168571428,0.0048259247142857,0.0063989954285714,114.35,0.09,3,25.4,20.4,22.766666666666666,2.51064400768674,0.7096657975780648,0.994469539141571,0.0001178115714285,0.4847009312294223,0.000710669387755,0.000737422,0.0007042024285714,1.2555947245689789e-05,0.2896235329494518,0.9991663664957476,0.0048259247142857,0.4846900339111996,5,2,0,81.15028395305171,0.0812650444897907,33.118450992769816,2.1289973927341945,0.0021320081632651,13075.9225,0.0081,9,0.3546048870425356,0.9350162426854148,0,0,0,1,0
6,58.0,0,-1,-1,0,-1,-1,-1,0.0001556337142857,0.993792115729212,0.9929583134492984,0.0001178115714285,0.9932703671434648,0.994469539141571,0.9928968022971932,0.000737422,0.0007042785714285,0.0007042091428571,0.0007158215714285,0.0007042158571428,0.0007045361428571,0.0007042024285714,0.999106944293272,0.0055036057142857,0.0063374771428571,0.9991663664957476,0.0060254168571428,0.0048259247142857,0.0063989954285714,114.35,0.09,3,71.6,51.0,60.2,10.474731500138796,0.7096657975780648,0.994469539141571,0.0001178115714285,0.4847009312294223,0.000710669387755,0.000737422,0.0007042024285714,1.2555947245689789e-05,0.2896235329494518,0.9991663664957476,0.0048259247142857,0.4846900339111996,5,2,0,81.15028395305171,0.0812650444897907,33.118450992769816,2.1289973927341945,0.0021320081632651,13075.9225,0.0081,9,0.3546048870425356,0.9350162426854148,0,0,0,0,1
1,58.6,0,-1,-1,0,-1,-1,-1,0.0001209778571428,0.9925322734651736,0.9873555725979368,0.0001127168571428,0.9942597796255096,0.994443210278136,0.9869233725709216,0.0007080764285714,0.0007040722857142,0.0007034434285714,0.0007080577142857,0.0007044718571428,0.0007046378571428,0.0007033947142857,0.9991709453923472,0.0067636541428571,0.0119409836783585,0.99917922500434,0.0050357487142857,0.0048521518571428,0.0123732329039082,114.65,0.26,4,58.6,58.6,57.05,3.1000000000000023,0.7079639861788519,0.994443210278136,0.0001127168571428,0.483561074915938,0.0007051648979591,0.0007080764285714,0.0007033947142857,2.036921001944397e-06,0.2913308488133199,0.99917922500434,0.0048521518571428,0.4835590950870272,5,2,0,81.16807101540537,0.0808471555510157,33.40108181644713,2.831855944715408,0.0028206595918365,13144.6225,0.0676,16,0.4647231720437685,0.8854560256532099,0,0,0,0,0
2,67.0,0,-1,-1,0,-1,-1,-1,0.0001209778571428,0.9925322734651736,0.9873555725979368,0.0001127168571428,0.9942597796255096,0.994443210278136,0.9869233725709216,0.0007080764285714,0.0007040722857142,0.0007034434285714,0.0007080577142857,0.0007044718571428,0.0007046378571428,0.0007033947142857,0.9991709453923472,0.0067636541428571,0.0119409836783585,0.99917922500434,0.0050357487142857,0.0048521518571428,0.0123732329039082,114.65,0.26,4,67.0,51.6,61.55,7.287203395908016,0.7079639861788519,0.994443210278136,0.0001127168571428,0.483561074915938,0.0007051648979591,0.0007080764285714,0.0007033947142857,2.036921001944397e-06,0.2913308488133199,0.99917922500434,0.0048521518571428,0.4835590950870272,5,2,0,81.16807101540537,0.0808471555510157,33.40108181644713,2.831855944715408,0.0028206595918365,13144.6225,0.0676,16,0.4647231720437685,0.8854560256532099,1,0,0,0,0
3,47.5,0,-1,-1,0,-1,-1,-1,0.0001209778571428,0.9925322734651736,0.9873555725979368,0.0001127168571428,0.9942597796255096,0.994443210278136,0.9869233725709216,0.0007080764285714,0.0007040722857142,0.0007034434285714,0.0007080577142857,0.0007044718571428,0.0007046378571428,0.0007033947142857,0.9991709453923472,0.0067636541428571,0.0119409836783585,0.99917922500434,0.0050357487142857,0.0048521518571428,0.0123732329039082,114.65,0.26,4,47.5,41.0,43.55,4.702127178203499,0.7079639861788519,0.994443210278136,0.0001127168571428,0.483561074915938,0.0007051648979591,0.0007080764285714,0.0007033947142857,2.036921001944397e-06,0.2913308488133199,0.99917922500434,0.0048521518571428,0.4835590950870272,5,2,0,81.16807101540537,0.0808471555510157,33.40108181644713,2.831855944715408,0.0028206595918365,13144.6225,0.0676,16,0.4647231720437685,0.8854560256532099,0,1,0,0,0
4,105.0,0,-1,-1,0,-1,-1,-1,0.0001209778571428,0.9925322734651736,0.9873555725979368,0.0001127168571428,0.9942597796255096,0.994443210278136,0.9869233725709216,0.0007080764285714,0.0007040722857142,0.0007034434285714,0.0007080577142857,0.0007044718571428,0.0007046378571428,0.0007033947142857,0.9991709453923472,0.0067636541428571,0.0119409836783585,0.99917922500434,0.0050357487142857,0.0048521518571428,0.0123732329039082,114.65,0.26,4,105.0,68.6,86.15,21.79197099851228,0.7079639861788519,0.994443210278136,0.0001127168571428,0.483561074915938,0.0007051648979591,0.0007080764285714,0.0007033947142857,2.036921001944397e-06,0.2913308488133199,0.99917922500434,0.0048521518571428,0.4835590950870272,5,2,0,81.16807101540537,0.0808471555510157,33.40108181644713,2.831855944715408,0.0028206595918365,13144.6225,0.0676,16,0.4647231720437685,0.8854560256532099,0,0,1,0,0
